,Year Graduated,Gender,Marital Status,Diploma Type,Defaulted,Salary,Fee,Savings ($)
77,2006,Female,Married,Standard Diploma,No,65000,11335,"$46,000"
78,2007,Male,Divorced,Standard Diploma,Yes,75000,11335,"$32,000"
79,2008,Female,Married,Standard Diploma,No,110000,11335,"$50,000"
80,2009,Female,Divorced,Standard Diploma,Yes,75000,11335,"$19,000"
81,2005,Female,Single,Standard Diploma,Yes,90000,12066,"$16,000"
82,2006,Male,Married,College Prep Diploma,No,65000,12066,"$37,000"
83,2007,Male,Single,Standard Diploma,No,75000,12066,"$16,000"
84,2008,M,Single,College Prep Diploma,Yes,65000,12066,"$72,000"
85,2009,Male,Married,Standard Diploma,No,75000,12066,"$46,000"
86,2005,Female,Divorced,Standard Diploma,Yes,100000,12067,"$32,000"
87,2006,Male,Married,Standard Diploma,Yes,75000,12067,"$67,000"
